City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,saint-philippe,-21.3585,55.7679,24.77,85,71,5.14,RE,2023-02-08 21:08:56
69,yenagoa,4.9247,6.2642,27.26,76,77,2.35,NG,2023-02-08 21:16:45
70,birao,10.2849,22.7882,20.35,14,8,2.87,CF,2023-02-08 21:16:46
71,luderitz,-26.6481,15.1594,17.44,96,6,6.3,NA,2023-02-08 21:10:05
72,airai,-8.9266,125.4092,15.3,94,99,0.89,TL,2023-02-08 21:09:18
73,new norfolk,-42.7826,147.0587,14.72,66,100,0.51,AU,2023-02-08 21:08:28
74,fort nelson,58.8053,-122.7002,-6.14,55,91,1.34,CA,2023-02-08 21:11:25
75,provideniya,64.3833,-173.3,-20.94,71,100,5.0,RU,2023-02-08 21:08:31
76,heihe,50.2441,127.4902,-27.56,99,13,0.56,CN,2023-02-08 21:16:47
77,andenes,69.3143,16.1194,4.99,81,75,16.98,NO,2023-02-08 21:16:48
78,kapaa,22.0752,-159.319,26.99,65,20,11.32,US,2023-02-08 21:08:41
79,muzhi,65.3667,64.6667,-0.82,75,100,12.67,RU,2023-02-08 21:16:48
80,carrigaline,51.8117,-8.3986,8.86,93,75,5.14,IE,2023-02-08 21:08:14
81,santa maria,-29.6842,-53.8069,37.44,15,17,3.13,BR,2023-02-08 21:16:22
82,bredasdorp,-34.5322,20.0403,19.75,78,2,6.72,ZA,2023-02-08 21:08:29
83,manzhouli,49.6,117.4333,-25.71,100,87,1.72,CN,2023-02-08 21:16:49
84,ormara,25.2088,64.6357,21.78,75,92,4.34,PK,2023-02-08 21:16:49
85,edgewater,28.9889,-80.9023,27.29,60,20,4.12,US,2023-02-08 21:16:50
86,panguna,-6.3164,155.4848,22.31,90,98,1.15,PG,2023-02-08 21:16:50
87,cidreira,-30.1811,-50.2056,25.73,79,0,7.49,BR,2023-02-08 21:05:49
88,nouadhibou,20.931,-17.0347,18.99,52,40,8.75,MR,2023-02-08 21:16:51
89,acajutla,13.5928,-89.8275,29.37,55,2,3.7,SV,2023-02-08 21:16:51
90,vestmannaeyjar,63.4427,-20.2734,-0.51,54,100,16.95,IS,2023-02-08 21:16:52
91,almaznyy,48.0448,40.045,-10.68,94,7,3.9,RU,2023-02-08 21:16:52
92,vanimo,-2.6741,141.3028,25.28,93,100,6.28,PG,2023-02-08 21:09:36
93,portobelo,9.55,-79.65,26.17,85,58,6.64,PA,2023-02-08 21:16:53
94,grand-bourg,15.8835,-61.3148,24.97,74,11,7.63,GP,2023-02-08 21:16:53
95,corning,42.1428,-77.0547,9.78,48,0,3.6,US,2023-02-08 21:16:54
96,hasaki,35.7333,140.8333,1.27,50,6,9.3,JP,2023-02-08 21:08:57
97,manjakandriana,-18.9167,47.8,16.83,96,100,2.26,MG,2023-02-08 21:16:54
98,sandpoint,48.2766,-116.5533,5.02,67,40,3.09,US,2023-02-08 21:16:55
99,chiredzi,-21.05,31.6667,23.86,76,92,0.91,ZW,2023-02-08 21:16:55
100,floro,61.5996,5.0328,7.35,87,100,20.06,NO,2023-02-08 21:16:57
101,avarua,-21.2078,-159.775,28.03,74,20,5.66,CK,2023-02-08 21:08:53
102,butaritari,3.0707,172.7902,26.58,85,96,9.22,KI,2023-02-08 21:08:57
103,saldanha,-33.0117,17.9442,20.45,72,47,6.06,ZA,2023-02-08 21:08:26
104,fortuna,40.5982,-124.1573,13.29,85,75,1.54,US,2023-02-08 21:08:39
105,rio grande,-32.035,-52.0986,29.06,71,12,7.19,BR,2023-02-08 21:16:58
106,yaring,6.8662,101.3689,23.89,88,49,3.8,TH,2023-02-08 21:16:58
107,manokwari,-0.8667,134.0833,24.91,84,100,4.32,ID,2023-02-08 21:16:59
108,port hardy,50.6996,-127.4199,5.6,77,100,7.55,CA,2023-02-08 21:15:11
109,mezhdurechensk,53.6942,88.0603,-13.33,98,100,0.21,RU,2023-02-08 21:16:59
110,isangel,-19.55,169.2667,24.83,93,100,2.06,VU,2023-02-08 21:09:12
111,komsomolskiy,40.4272,71.7189,3.4,81,100,3.09,UZ,2023-02-08 21:10:12
112,ribeira grande,38.5167,-28.7,13.22,62,40,4.12,PT,2023-02-08 21:08:26
113,baft,29.234,56.6057,4.54,38,99,7.32,IR,2023-02-08 21:17:00
114,meadville,41.6414,-80.1515,8.36,58,0,1.54,US,2023-02-08 21:15:52
115,otavi,-19.65,17.3333,18.89,85,97,3.56,NA,2023-02-08 21:17:01
116,bengkulu,-3.8004,102.2655,23.61,85,90,2.25,ID,2023-02-08 21:08:54
117,albany,42.6001,-73.9662,7.6,55,9,0.45,US,2023-02-08 21:12:23
118,botshabelo,-29.2702,26.7052,15.92,91,100,2.55,ZA,2023-02-08 21:17:02
119,narsaq,60.9167,-46.05,-9.88,95,100,3.64,GL,2023-02-08 21:09:51
120,charters towers,-20.1,146.2667,23.32,82,88,5.42,AU,2023-02-08 21:17:02
121,fukue,32.6881,128.8419,11.0,56,99,7.63,JP,2023-02-08 21:17:03
122,qaanaaq,77.484,-69.3632,-32.39,67,17,2.71,GL,2023-02-08 21:08:52
123,yellowknife,62.456,-114.3525,-17.83,91,13,2.15,CA,2023-02-08 21:08:37
124,olafsvik,64.8945,-23.7142,-3.36,72,100,16.27,IS,2023-02-08 21:09:52
125,abu kamal,34.4506,40.9171,5.54,50,2,4.6,SY,2023-02-08 21:17:04
126,kaitangata,-46.2817,169.8464,10.44,72,65,6.44,NZ,2023-02-08 21:08:17
127,tianpeng,30.9866,103.9393,11.46,90,100,1.1,CN,2023-02-08 21:17:05
128,stabat,3.761,98.4513,24.11,95,100,0.84,ID,2023-02-08 21:17:05
129,nanortalik,60.1432,-45.2371,-0.96,82,100,2.76,GL,2023-02-08 21:17:06
130,asfi,32.2994,-9.2372,14.34,80,38,3.23,MA,2023-02-08 21:17:07
131,carutapera,-1.195,-46.02,25.56,85,99,3.15,BR,2023-02-08 21:17:07
132,abha,18.2164,42.5053,11.14,82,0,0.0,SA,2023-02-08 21:09:28
133,hermanus,-34.4187,19.2345,21.0,76,0,7.62,ZA,2023-02-08 21:08:36
134,ambunti,-4.2365,142.8448,22.93,99,100,0.86,PG,2023-02-08 21:17:09
135,nieuw amsterdam,5.8833,-55.0833,27.23,83,40,5.14,SR,2023-02-08 21:17:09
136,margate,51.3813,1.3862,2.05,71,23,0.89,GB,2023-02-08 21:15:25
137,lebu,-37.6167,-73.65,18.13,78,2,5.4,CL,2023-02-08 21:03:53
138,karasuk,53.7377,78.0403,-26.37,100,100,0.99,RU,2023-02-08 21:17:10
139,khatanga,71.9667,102.5,-42.83,100,62,2.03,RU,2023-02-08 21:09:13
140,san patricio,28.017,-97.5169,17.97,75,100,7.37,US,2023-02-08 21:17:11
141,coahuayana,18.7333,-103.6833,30.28,49,0,3.23,MX,2023-02-08 21:17:11
142,maymyo,22.0333,96.4667,11.8,42,0,1.48,MM,2023-02-08 21:17:12
143,codrington,-38.2667,141.9667,13.39,88,2,2.53,AU,2023-02-08 21:11:47
144,mar del plata,-38.0023,-57.5575,27.01,63,0,6.69,AR,2023-02-08 21:08:52
